blob_id,x,y,size,accepted_10_21
1,226.56356811523438,346.7779235839844,10.312517166137695,True
2,320.9072265625,403.18572998046875,5.403051853179932,False
3,317.64813232421875,369.3005676269531,3.6437206268310547,False
4,287.2870178222656,378.400146484375,12.57473087310791,True
5,268.0244140625,316.4626770019531,6.2698211669921875,False
6,173.9558563232422,302.154052734375,5.003983497619629,False
7,113.60984802246094,386.1859130859375,4.242640495300293,False
8,103.04814147949219,356.550048828125,5.992861270904541,False
9,134.460693359375,334.02911376953125,10.39125919342041,True
10,116.627685546875,373.52252197265625,7.465485572814941,False
11,203.1628875732422,403.44598388671875,2.255894899368286,False
12,210.48489379882812,298.0750427246094,10.850770950317383,True
13,251.57228088378906,258.85955810546875,20.093320846557617,True
14,159.79685974121094,328.77862548828125,8.158763885498047,False
15,216.0860137939453,326.5213317871094,6.921213150024414,False
16,179.26199340820312,324.44781494140625,3.2249248027801514,False
17,196.13333129882812,253.56295776367188,5.088415622711182,False
18,177.49049377441406,422.988525390625,11.695616722106934,True
19,230.86920166015625,397.681884765625,3.995405912399292,False
20,190.30979919433594,377.7908935546875,17.866741180419922,True
21,208.0609893798828,351.09881591796875,2.7324929237365723,False
22,152.66030883789062,383.29522705078125,40.62390899658203,False
23,218.46243286132812,296.9164123535156,1.813529372215271,False
24,256.13690185546875,342.89556884765625,2.669420003890991,False
25,248.875,258.7361145019531,4.064677715301514,False
26,290.69049072265625,370.5714111328125,2.448563814163208,False
